,County,Trump,Biden,Jorgensen,Hawkins,Blankenship,Simmons,Pres_Write_In,Total_Cast,Trump%,Biden%,Jorgensen%,Hawkins%,Blankenship%,Simmons%,Pres_Write_In%,Trump-Biden,Trump-Biden%
64,NEW HANOVER,63331.0,66138.0,1521.0,362.0,171.0,0.0,2201.0,133724.0,47.36,49.46,1.14,0.27,0.13,0.0,1.65,-2807.0,-2.1000000000000014
65,NORTHAMPTON,3989.0,6069.0,30.0,10.0,7.0,0.0,99.0,10204.0,39.09,59.48,0.29,0.1,0.07,0.0,0.97,-2080.0,-20.389999999999993
66,ONSLOW,46078.0,24266.0,1506.0,136.0,100.0,0.0,1433.0,73519.0,62.67,33.01,2.05,0.18,0.14,0.0,1.95,21812.0,29.660000000000004
67,ORANGE,20176.0,63594.0,653.0,217.0,82.0,7.0,1687.0,86416.0,23.35,73.59,0.76,0.25,0.09,0.01,1.95,-43418.0,-50.24
68,PAMLICO,4849.0,2713.0,44.0,10.0,5.0,0.0,123.0,7744.0,62.62,35.03,0.57,0.13,0.06,0.0,1.59,2136.0,27.589999999999996
69,PASQUOTANK,9770.0,9832.0,161.0,48.0,36.0,0.0,1006.0,20853.0,46.85,47.15,0.77,0.23,0.17,0.0,4.82,-62.0,-0.29999999999999716
70,PENDER,21956.0,11723.0,329.0,63.0,46.0,0.0,576.0,34693.0,63.29,33.79,0.95,0.18,0.13,0.0,1.66,10233.0,29.5
71,PERQUIMANS,4903.0,2492.0,44.0,18.0,16.0,0.0,63.0,7536.0,65.06,33.07,0.58,0.24,0.21,0.0,0.84,2411.0,31.990000000000002
72,PERSON,13184.0,8465.0,144.0,42.0,36.0,0.0,541.0,22412.0,58.83,37.77,0.64,0.19,0.16,0.0,2.41,4719.0,21.059999999999995
73,PITT,38982.0,47252.0,796.0,210.0,125.0,1.0,2064.0,89430.0,43.59,52.84,0.89,0.23,0.14,0.0,2.31,-8270.0,-9.25
74,POLK,7689.0,4518.0,86.0,23.0,17.0,0.0,271.0,12604.0,61.0,35.85,0.68,0.18,0.13,0.0,2.15,3171.0,25.15
75,RANDOLPH,56894.0,15618.0,506.0,123.0,75.0,1.0,1577.0,74794.0,76.07,20.88,0.68,0.16,0.1,0.0,2.11,41276.0,55.19
76,RICHMOND,11830.0,8754.0,99.0,35.0,24.0,0.0,253.0,20995.0,56.35,41.7,0.47,0.17,0.11,0.0,1.21,3076.0,14.649999999999999
77,ROBESON,27806.0,19020.0,161.0,73.0,61.0,0.0,506.0,47627.0,58.38,39.94,0.34,0.15,0.13,0.0,1.06,8786.0,18.440000000000005
78,ROCKINGHAM,31301.0,15992.0,312.0,75.0,55.0,0.0,861.0,48596.0,64.41,32.91,0.64,0.15,0.11,0.0,1.77,15309.0,31.5
79,ROWAN,49297.0,23114.0,577.0,154.0,99.0,0.0,2552.0,75793.0,65.04,30.5,0.76,0.2,0.13,0.0,3.37,26183.0,34.540000000000006
80,RUTHERFORD,24891.0,9135.0,218.0,60.0,53.0,1.0,500.0,34858.0,71.41,26.21,0.63,0.17,0.15,0.0,1.43,15756.0,45.199999999999996
81,SAMPSON,17411.0,10966.0,143.0,23.0,29.0,1.0,430.0,29003.0,60.03,37.81,0.49,0.08,0.1,0.0,1.48,6445.0,22.22
82,SCOTLAND,7473.0,7186.0,54.0,31.0,14.0,0.0,351.0,15109.0,49.46,47.56,0.36,0.21,0.09,0.0,2.32,287.0,1.8999999999999986
83,STANLY,25458.0,8129.0,225.0,32.0,48.0,0.0,3800.0,37692.0,67.54,21.57,0.6,0.08,0.13,0.0,10.08,17329.0,45.970000000000006
84,STOKES,20142.0,5286.0,180.0,30.0,29.0,0.0,573.0,26240.0,76.76,20.14,0.69,0.11,0.11,0.0,2.18,14856.0,56.620000000000005
85,SURRY,27538.0,8721.0,235.0,45.0,42.0,0.0,686.0,37267.0,73.89,23.4,0.63,0.12,0.11,0.0,1.84,18817.0,50.49
86,SWAIN,4161.0,2780.0,72.0,19.0,19.0,0.0,286.0,7337.0,56.71,37.89,0.98,0.26,0.26,0.0,3.9,1381.0,18.82
87,TRANSYLVANIA,11636.0,8444.0,180.0,50.0,34.0,0.0,249.0,20593.0,56.5,41.0,0.87,0.24,0.17,0.0,1.21,3192.0,15.5
88,TYRRELL,1044.0,758.0,8.0,2.0,2.0,0.0,32.0,1846.0,56.55,41.06,0.43,0.11,0.11,0.0,1.73,286.0,15.489999999999995
89,UNION,80382.0,48725.0,1136.0,238.0,171.0,4.0,2109.0,132765.0,60.54,36.7,0.86,0.18,0.13,0.0,1.59,31657.0,23.839999999999996
90,VANCE,8391.0,12431.0,94.0,24.0,34.0,0.0,208.0,21182.0,39.61,58.69,0.44,0.11,0.16,0.0,0.98,-4040.0,-19.08
91,WAKE,226197.0,393336.0,7514.0,1612.0,884.0,22.0,17749.0,647314.0,34.94,60.76,1.16,0.25,0.14,0.0,2.74,-167139.0,-25.82
92,WARREN,3752.0,6400.0,63.0,29.0,32.0,0.0,112.0,10388.0,36.12,61.61,0.61,0.28,0.31,0.0,1.08,-2648.0,-25.490000000000002
93,WASHINGTON,2781.0,3396.0,17.0,2.0,7.0,0.0,67.0,6270.0,44.35,54.16,0.27,0.03,0.11,0.0,1.07,-615.0,-9.809999999999995
94,WATAUGA,14451.0,17122.0,386.0,103.0,43.0,0.0,1118.0,33223.0,43.5,51.54,1.16,0.31,0.13,0.0,3.37,-2671.0,-8.04
95,WAYNE,30709.0,24215.0,378.0,92.0,71.0,0.0,1941.0,57406.0,53.49,42.18,0.66,0.16,0.12,0.0,3.38,6494.0,11.310000000000002
96,WILKES,27592.0,7511.0,214.0,40.0,57.0,0.0,427.0,35841.0,76.98,20.96,0.6,0.11,0.16,0.0,1.19,20081.0,56.02
97,WILSON,19581.0,20754.0,245.0,56.0,41.0,0.0,782.0,41459.0,47.23,50.06,0.59,0.14,0.1,0.0,1.89,-1173.0,-2.8300000000000054
98,YADKIN,15933.0,3763.0,131.0,28.0,33.0,1.0,574.0,20463.0,77.86,18.39,0.64,0.14,0.16,0.0,2.81,12170.0,59.47
99,YANCEY,7516.0,3688.0,82.0,27.0,18.0,0.0,21.0,11352.0,66.21,32.49,0.72,0.24,0.16,0.0,0.18,3828.0,33.71999999999999
100,Statewide,2758773.0,2684292.0,48678.0,12195.0,7549.0,119.0,136187.0,5647793.0,48.85,47.53,0.86,0.22,0.13,0.0,2.41,74481.0,1.3200000000000003
