,County,Trump,Trump%,Biden,Biden%,Tillis,Tillis%,Cunningham,Cunningham%,Forest,Forest%,Cooper,Cooper%,Robinson,Robinson%,Holley,Holley%,ONeill,ONeill%,Stein,Stein%,Sykes,Sykes%,Marshall,Marshall%,Folwell,Folwell%,Chatterji,Chatterji%,Truitt,Truitt%,Mangrum,Mangrum%,Street,Street%,Wood,Wood%,Troxler,Troxler%,Wadsworth,Wadsworth%,Dobson,Dobson%,Holmes,Holmes%,Causey,Causey%,Goodwin,Goodwin%,REP_AVG,REP_MIN,REP_MAX,DEM_AVG,DEM_MIN,DEM_MAX,REP_High-Low,REP_AVG-DEM_AVG,Total_President,Total_Senate,Total_Governor
20,CHOWAN,4471.0,56.46,3247.0,41.0,4353.0,56.61,3124.0,40.63,4308.0,55.48,3399.0,43.77,4495.0,58.75,3156.0,41.25,4324.0,56.87,3279.0,43.13,4165.0,54.79,3437.0,45.21,4402.0,58.24,3157.0,41.76,4258.0,56.3,3305.0,43.7,4105.0,54.19,3470.0,45.81,4557.0,59.84,3058.0,40.16,4284.0,56.63,3281.0,43.37,4018.0,52.76,3597.0,47.24,4312.0,4018.0,4557.0,3292.0,3058.0,3597.0,539.0,1020.0,7919.0,7689.0,7765.0
21,CLAY,5112.0,72.9,1699.0,24.23,4897.0,71.9,1676.0,24.61,4994.0,72.82,1761.0,25.68,5064.0,74.96,1692.0,25.04,5005.0,74.57,1707.0,25.43,4927.0,73.48,1778.0,26.52,4934.0,74.14,1721.0,25.86,4948.0,73.98,1740.0,26.02,4912.0,73.47,1774.0,26.53,5016.0,74.97,1675.0,25.03,4935.0,73.94,1739.0,26.06,5009.0,75.03,1667.0,24.97,4979.0,4897.0,5112.0,1719.0,1667.0,1778.0,215.0,3260.0,7012.0,6811.0,6858.0
22,CLEVELAND,33798.0,64.84,16955.0,32.53,32022.0,63.06,16752.0,32.99,32031.0,62.65,18549.0,36.28,33301.0,66.26,16959.0,33.74,32197.0,64.31,17867.0,35.69,31797.0,63.62,18180.0,36.38,32969.0,66.38,16696.0,33.62,32851.0,65.9,16997.0,34.1,32161.0,64.5,17699.0,35.5,33815.0,67.52,16268.0,32.48,32781.0,65.7,17115.0,34.3,32933.0,66.07,16914.0,33.93,32721.0,31797.0,33815.0,17246.0,16268.0,18549.0,2018.0,15475.0,52129.0,50777.0,51124.0
23,COLUMBUS,16832.0,62.31,9446.0,34.97,15563.0,59.62,9599.0,36.77,15713.0,59.87,10309.0,39.28,16480.0,63.47,9483.0,36.53,15674.0,60.77,10117.0,39.23,15279.0,59.33,10475.0,40.67,15859.0,62.12,9672.0,37.88,16016.0,62.42,9642.0,37.58,15551.0,60.59,10116.0,39.41,16439.0,63.73,9355.0,36.27,15755.0,61.47,9875.0,38.53,16050.0,62.5,9632.0,37.5,15934.0,15279.0,16832.0,9810.0,9355.0,10475.0,1553.0,6124.0,27014.0,26102.0,26245.0
24,CRAVEN,31032.0,56.71,21148.0,38.65,29542.0,56.25,20416.0,38.87,29614.0,56.03,22436.0,42.45,31358.0,60.34,20610.0,39.66,30278.0,58.76,21250.0,41.24,29488.0,57.25,22022.0,42.75,30731.0,60.15,20357.0,39.85,30533.0,59.47,20809.0,40.53,28562.0,55.49,22912.0,44.51,31572.0,61.19,20022.0,38.81,30194.0,58.69,21249.0,41.31,30888.0,60.17,20446.0,39.83,30316.0,28562.0,31572.0,21140.0,20022.0,22912.0,3010.0,9176.0,54716.0,52521.0,52856.0
25,CUMBERLAND,60032.0,39.89,84469.0,56.12,57121.0,39.2,81001.0,55.59,55197.0,37.68,88278.0,60.26,60270.0,41.64,84485.0,58.36,58138.0,40.26,86280.0,59.74,56623.0,39.27,87584.0,60.73,62152.0,43.4,81060.0,56.6,60294.0,42.01,83232.0,57.99,57394.0,40.0,86079.0,60.0,61698.0,42.85,82292.0,57.15,58632.0,40.75,85235.0,59.25,59247.0,41.34,84059.0,58.66,58900.0,55197.0,62152.0,84504.0,81001.0,88278.0,6955.0,-25604.0,150504.0,145719.0,146493.0
26,CURRITUCK,11657.0,69.08,4195.0,24.86,11368.0,71.29,3849.0,24.14,11293.0,70.47,4382.0,27.34,11790.0,74.56,4022.0,25.44,11650.0,73.95,4104.0,26.05,11339.0,72.38,4326.0,27.62,11520.0,74.07,4032.0,25.93,11603.0,74.34,4004.0,25.66,11301.0,72.21,4349.0,27.79,11620.0,74.52,3974.0,25.48,11465.0,73.39,4157.0,26.61,11551.0,73.95,4070.0,26.05,11513.0,11293.0,11790.0,4122.0,3849.0,4382.0,497.0,7391.0,16875.0,15946.0,16025.0
27,DARE,13938.0,56.48,9936.0,40.26,13581.0,56.98,9284.0,38.95,13151.0,54.75,10485.0,43.65,13796.0,59.02,9581.0,40.98,13557.0,58.44,9641.0,41.56,13009.0,56.45,10035.0,43.55,13757.0,60.55,8964.0,39.45,13355.0,58.52,9468.0,41.48,13045.0,56.86,9899.0,43.14,13715.0,59.59,9302.0,40.41,13302.0,58.15,9572.0,41.85,13488.0,58.98,9381.0,41.02,13474.0,13009.0,13938.0,9629.0,8964.0,10485.0,929.0,3845.0,24679.0,23835.0,24020.0
28,DAVIDSON,64658.0,71.71,22636.0,25.1,60686.0,68.81,23660.0,26.83,60771.0,68.72,26598.0,30.08,65206.0,74.19,22689.0,25.81,63260.0,72.08,24503.0,27.92,62486.0,71.42,25011.0,28.58,63482.0,72.65,23894.0,27.35,64633.0,74.0,22712.0,26.0,62446.0,71.54,24848.0,28.46,67070.0,76.48,20624.0,23.52,64139.0,73.47,23157.0,26.53,64753.0,74.19,22522.0,25.81,63632.0,60686.0,67070.0,23571.0,20624.0,26598.0,6384.0,40061.0,90167.0,88188.0,88430.0
29,DAVIE,18228.0,71.23,6713.0,26.23,17415.0,69.21,6570.0,26.11,17104.0,67.66,7904.0,31.27,18594.0,74.12,6494.0,25.88,18047.0,72.08,6990.0,27.92,17688.0,71.04,7211.0,28.96,18213.0,73.26,6647.0,26.74,18199.0,73.25,6646.0,26.75,17690.0,71.29,7123.0,28.71,19158.0,76.76,5800.0,23.24,18263.0,73.53,6573.0,26.47,18459.0,74.35,6369.0,25.65,18088.0,17104.0,19158.0,6753.0,5800.0,7904.0,2054.0,11335.0,25590.0,25162.0,25278.0
30,DUPLIN,13793.0,59.94,8767.0,38.1,12954.0,57.75,8689.0,38.73,13295.0,58.72,9164.0,40.48,13726.0,61.62,8551.0,38.38,13136.0,59.5,8942.0,40.5,12698.0,57.43,9413.0,42.57,13346.0,60.86,8583.0,39.14,13274.0,60.41,8698.0,39.59,12797.0,58.15,9211.0,41.85,13844.0,62.43,8333.0,37.57,13189.0,59.71,8899.0,40.29,13447.0,61.01,8594.0,38.99,13292.0,12698.0,13844.0,8820.0,8333.0,9413.0,1146.0,4472.0,23013.0,22432.0,22640.0
31,DURHAM,32459.0,17.9,144688.0,79.78,34152.0,19.1,138429.0,77.4,29989.0,16.7,147110.0,81.91,35541.0,20.03,141908.0,79.97,34005.0,19.18,143304.0,80.82,32660.0,18.49,143943.0,81.51,39415.0,22.46,136108.0,77.54,35759.0,20.32,140212.0,79.68,32661.0,18.54,143483.0,81.46,40953.0,23.29,134906.0,76.71,34607.0,19.66,141387.0,80.34,36606.0,20.83,139132.0,79.17,34901.0,29989.0,40953.0,141218.0,134906.0,147110.0,10964.0,-106317.0,181361.0,178846.0,179595.0
32,EDGECOMBE,9206.0,35.46,16089.0,61.97,8582.0,33.9,15952.0,63.01,8487.0,33.35,16786.0,65.96,9160.0,36.3,16073.0,63.7,8446.0,33.53,16742.0,66.47,8305.0,32.95,16897.0,67.05,9327.0,37.21,15739.0,62.79,8949.0,35.66,16145.0,64.34,7613.0,30.32,17492.0,69.68,9441.0,37.57,15688.0,62.43,8855.0,35.23,16277.0,64.77,8802.0,34.98,16359.0,65.02,8764.0,7613.0,9441.0,16353.0,15688.0,17492.0,1828.0,-7589.0,25963.0,25318.0,25449.0
33,FORSYTH,85064.0,41.17,113033.0,54.71,83228.0,41.72,107277.0,53.77,78475.0,39.17,118663.0,59.24,88119.0,44.65,109218.0,55.35,87567.0,44.23,110411.0,55.77,82723.0,42.27,112974.0,57.73,90863.0,46.43,104834.0,53.57,86531.0,44.31,108765.0,55.69,83183.0,42.56,112246.0,57.44,92499.0,47.17,103612.0,52.83,85821.0,43.99,109265.0,56.01,87680.0,44.89,107656.0,55.11,85979.0,78475.0,92499.0,109830.0,103612.0,118663.0,14024.0,-23851.0,206592.0,199509.0,200324.0
34,FRANKLIN,20901.0,54.18,15879.0,41.16,19654.0,52.94,15659.0,42.18,19400.0,51.95,17427.0,46.66,20950.0,56.86,15898.0,43.14,19917.0,54.14,16869.0,45.86,19231.0,52.41,17462.0,47.59,20820.0,57.19,15584.0,42.81,20538.0,56.31,15932.0,43.69,19176.0,52.42,17408.0,47.58,22159.0,60.42,14515.0,39.58,20293.0,55.58,16217.0,44.42,20427.0,55.86,16138.0,44.14,20289.0,19176.0,22159.0,16249.0,14515.0,17462.0,2983.0,4040.0,38577.0,37124.0,37345.0
35,GASTON,73033.0,61.77,40959.0,34.64,69398.0,60.77,39595.0,34.67,69158.0,60.18,44074.0,38.35,72255.0,64.34,40045.0,35.66,70629.0,62.4,42556.0,37.6,69265.0,61.97,42498.0,38.03,71810.0,64.61,39336.0,35.39,71449.0,64.17,39897.0,35.83,69622.0,62.65,41514.0,37.35,72450.0,64.6,39694.0,35.4,70853.0,63.46,40805.0,36.54,71914.0,64.39,39777.0,35.61,70986.0,69158.0,73033.0,40896.0,39336.0,44074.0,3875.0,30090.0,118239.0,114201.0,114919.0
36,GATES,3367.0,55.44,2546.0,41.92,3205.0,54.46,2474.0,42.04,3163.0,53.31,2679.0,45.15,3321.0,56.77,2529.0,43.23,3232.0,55.74,2566.0,44.26,3102.0,53.57,2689.0,46.43,3225.0,56.39,2494.0,43.61,3206.0,55.72,2548.0,44.28,3099.0,53.66,2676.0,46.34,3369.0,58.06,2434.0,41.94,3166.0,54.95,2596.0,45.05,3157.0,54.61,2624.0,45.39,3218.0,3099.0,3369.0,2571.0,2434.0,2689.0,270.0,647.0,6073.0,5885.0,5933.0
