,County,Trump,Trump%,Biden,Biden%,Tillis,Tillis%,Cunningham,Cunningham%,Forest,Forest%,Cooper,Cooper%,Robinson,Robinson%,Holley,Holley%,ONeill,ONeill%,Stein,Stein%,Sykes,Sykes%,Marshall,Marshall%,Folwell,Folwell%,Chatterji,Chatterji%,Truitt,Truitt%,Mangrum,Mangrum%,Street,Street%,Wood,Wood%,Troxler,Troxler%,Wadsworth,Wadsworth%,Dobson,Dobson%,Holmes,Holmes%,Causey,Causey%,Goodwin,Goodwin%,REP_AVG,REP_MIN,REP_MAX,DEM_AVG,DEM_MIN,DEM_MAX,REP_High-Low,REP_AVG-DEM_AVG,Total_President,Total_Senate,Total_Governor
85,SURRY,27538.0,73.89,8721.0,23.4,25475.0,70.17,9267.0,25.53,25366.0,69.31,10872.0,29.71,27262.0,75.48,8854.0,24.52,26451.0,73.33,9621.0,26.67,25794.0,71.8,10129.0,28.2,26700.0,74.62,9083.0,25.38,26699.0,74.66,9062.0,25.34,25981.0,72.66,9777.0,27.34,28008.0,77.76,8011.0,22.24,26694.0,74.56,9108.0,25.44,26828.0,75.04,8925.0,24.96,26566.0,25366.0,28008.0,9286.0,8011.0,10872.0,2642.0,17280.0,37267.0,36303.0,36599.0
86,SWAIN,4161.0,56.71,2780.0,37.89,3846.0,55.17,2696.0,38.67,3847.0,54.73,3043.0,43.29,4142.0,60.48,2706.0,39.52,3944.0,57.84,2875.0,42.16,3857.0,56.95,2916.0,43.05,4031.0,60.21,2664.0,39.79,3978.0,59.27,2734.0,40.73,3868.0,57.38,2873.0,42.62,4111.0,60.62,2671.0,39.38,3943.0,58.48,2799.0,41.52,3970.0,58.9,2770.0,41.1,3975.0,3846.0,4161.0,2794.0,2664.0,3043.0,315.0,1181.0,7337.0,6971.0,7029.0
87,TRANSYLVANIA,11636.0,56.5,8444.0,41.0,11209.0,55.48,8158.0,40.38,10800.0,53.14,9226.0,45.39,11858.0,59.01,8238.0,40.99,11494.0,57.42,8525.0,42.58,11196.0,56.17,8735.0,43.83,11799.0,59.65,7983.0,40.35,11653.0,58.74,8184.0,41.26,11286.0,56.87,8560.0,43.13,12111.0,60.84,7794.0,39.16,11565.0,58.39,8241.0,41.61,11683.0,59.11,8083.0,40.89,11524.0,10800.0,12111.0,8348.0,7794.0,9226.0,1311.0,3176.0,20593.0,20205.0,20325.0
88,TYRRELL,1044.0,56.55,758.0,41.06,945.0,52.97,778.0,43.61,975.0,54.11,811.0,45.01,1015.0,57.8,741.0,42.2,940.0,53.96,802.0,46.04,887.0,51.04,851.0,48.96,1003.0,58.21,720.0,41.79,976.0,56.58,749.0,43.42,910.0,52.39,827.0,47.61,1059.0,60.24,699.0,39.76,959.0,55.15,780.0,44.85,949.0,54.6,789.0,45.4,972.0,887.0,1059.0,775.0,699.0,851.0,172.0,197.0,1846.0,1784.0,1802.0
89,UNION,80382.0,60.54,48725.0,36.7,79645.0,61.34,45096.0,34.73,77305.0,59.25,51306.0,39.32,81416.0,63.7,46400.0,36.3,79594.0,62.22,48331.0,37.78,79040.0,62.09,48263.0,37.91,81471.0,64.68,44491.0,35.32,80622.0,63.7,45938.0,36.3,78852.0,62.38,47560.0,37.62,81608.0,64.45,45019.0,35.55,79957.0,63.28,46399.0,36.72,81253.0,64.35,45021.0,35.65,80095.0,77305.0,81608.0,46879.0,44491.0,51306.0,4303.0,33216.0,132765.0,129844.0,130471.0
90,VANCE,8391.0,39.61,12431.0,58.69,7876.0,37.84,12247.0,58.84,7608.0,36.32,13160.0,62.82,8287.0,40.05,12407.0,59.95,7779.0,37.59,12918.0,62.41,7367.0,35.71,13265.0,64.29,8449.0,41.24,12039.0,58.76,8172.0,39.82,12348.0,60.18,7623.0,37.13,12905.0,62.87,8748.0,42.35,11910.0,57.65,8063.0,39.24,12483.0,60.76,8064.0,39.16,12530.0,60.84,8036.0,7367.0,8748.0,12554.0,11910.0,13265.0,1381.0,-4518.0,21182.0,20815.0,20950.0
91,WAKE,226197.0,34.94,393336.0,60.76,232388.0,37.05,367718.0,58.63,209183.0,33.22,410386.0,65.17,240082.0,38.68,380586.0,61.32,228629.0,36.86,391571.0,63.14,220550.0,35.8,395505.0,64.2,250945.0,41.0,361110.0,59.0,236259.0,38.75,373437.0,61.25,219386.0,35.76,394184.0,64.24,272502.0,44.21,343904.0,55.79,234033.0,38.3,377012.0,61.7,242235.0,39.61,369348.0,60.39,234366.0,209183.0,272502.0,379841.0,343904.0,410386.0,63319.0,-145475.0,647314.0,627229.0,629673.0
92,WARREN,3752.0,36.12,6400.0,61.61,3520.0,34.3,6437.0,62.72,3497.0,33.97,6716.0,65.24,3733.0,36.38,6527.0,63.62,3533.0,34.49,6711.0,65.51,3468.0,33.79,6794.0,66.21,3882.0,37.94,6349.0,62.06,3728.0,36.42,6508.0,63.58,3502.0,34.23,6728.0,65.77,3974.0,38.76,6279.0,61.24,3710.0,36.29,6514.0,63.71,3681.0,36.02,6537.0,63.98,3665.0,3468.0,3974.0,6542.0,6279.0,6794.0,506.0,-2877.0,10388.0,10263.0,10295.0
93,WASHINGTON,2781.0,44.35,3396.0,54.16,2584.0,42.05,3329.0,54.17,2623.0,42.37,3531.0,57.03,2762.0,45.14,3357.0,54.86,2607.0,42.81,3483.0,57.19,2525.0,41.54,3554.0,58.46,2738.0,45.33,3302.0,54.67,2702.0,44.59,3357.0,55.41,2538.0,41.76,3540.0,58.24,2843.0,46.71,3244.0,53.29,2647.0,43.56,3429.0,56.44,2625.0,43.15,3459.0,56.85,2665.0,2525.0,2843.0,3415.0,3244.0,3554.0,318.0,-750.0,6270.0,6145.0,6191.0
94,WATAUGA,14451.0,43.5,17122.0,51.54,14216.0,44.6,16193.0,50.8,13790.0,43.04,17642.0,55.06,14856.0,47.48,16436.0,52.52,14309.0,45.8,16936.0,54.2,13874.0,44.87,17045.0,55.13,15040.0,49.18,15544.0,50.82,14382.0,46.82,16336.0,53.18,14011.0,45.58,16725.0,54.42,15270.0,49.41,15635.0,50.59,14459.0,47.04,16277.0,52.96,14733.0,47.95,15994.0,52.05,14449.0,13790.0,15270.0,16490.0,15544.0,17642.0,1480.0,-2041.0,33223.0,31878.0,32040.0
95,WAYNE,30709.0,53.49,24215.0,42.18,29174.0,53.1,23528.0,42.82,29056.0,52.53,25589.0,46.26,30641.0,56.07,24002.0,43.93,29648.0,54.36,24896.0,45.64,28591.0,52.55,25819.0,47.45,30551.0,56.66,23371.0,43.34,30363.0,56.08,23783.0,43.92,28809.0,53.15,25396.0,46.85,31667.0,58.15,22795.0,41.85,29993.0,55.29,24254.0,44.71,30184.0,55.71,23996.0,44.29,29949.0,28591.0,31667.0,24304.0,22795.0,25819.0,3076.0,5645.0,57406.0,54944.0,55316.0
96,WILKES,27592.0,76.98,7511.0,20.96,25488.0,72.67,8074.0,23.02,25469.0,72.05,9537.0,26.98,27260.0,78.32,7547.0,21.68,26321.0,75.84,8387.0,24.16,25920.0,75.21,8542.0,24.79,26146.0,76.16,8183.0,23.84,26672.0,77.7,7654.0,22.3,25992.0,75.78,8309.0,24.22,27748.0,80.11,6889.0,19.89,26618.0,77.38,7781.0,22.62,26750.0,77.85,7610.0,22.15,26498.0,25469.0,27748.0,8002.0,6889.0,9537.0,2279.0,18496.0,35841.0,35073.0,35350.0
97,WILSON,19581.0,47.23,20754.0,50.06,18642.0,46.13,20445.0,50.59,18305.0,44.99,22014.0,54.11,19617.0,48.69,20669.0,51.31,18519.0,46.09,21665.0,53.91,17895.0,44.57,22259.0,55.43,19784.0,49.63,20075.0,50.37,19095.0,47.78,20870.0,52.22,17801.0,44.5,22197.0,55.5,20425.0,50.84,19748.0,49.16,19155.0,47.87,20857.0,52.13,19289.0,48.28,20662.0,51.72,19009.0,17801.0,20425.0,21018.0,19748.0,22259.0,2624.0,-2009.0,41459.0,40411.0,40685.0
98,YADKIN,15933.0,77.86,3763.0,18.39,14798.0,74.86,4036.0,20.42,14910.0,74.92,4777.0,24.01,15894.0,80.81,3774.0,19.19,15379.0,78.42,4231.0,21.58,15134.0,77.49,4396.0,22.51,15515.0,79.6,3976.0,20.4,15585.0,80.1,3871.0,19.9,15201.0,78.11,4261.0,21.89,16290.0,83.11,3311.0,16.89,15581.0,80.01,3894.0,19.99,15666.0,80.35,3831.0,19.65,15490.0,14798.0,16290.0,4010.0,3311.0,4777.0,1492.0,11480.0,20463.0,19768.0,19900.0
99,YANCEY,7516.0,66.21,3688.0,32.49,7038.0,62.39,3833.0,33.98,7105.0,62.47,4147.0,36.46,7432.0,66.37,3766.0,33.63,7201.0,64.53,3958.0,35.47,7013.0,63.35,4058.0,36.65,7127.0,65.04,3831.0,34.96,7149.0,64.91,3864.0,35.09,6826.0,63.14,3985.0,36.86,7440.0,67.12,3644.0,32.88,7138.0,64.71,3892.0,35.29,7138.0,64.67,3899.0,35.33,7177.0,6826.0,7516.0,3880.0,3644.0,4147.0,690.0,3297.0,11352.0,11280.0,11374.0
100,Statewide,2758773.0,48.85,2684292.0,47.53,2665598.0,48.69,2569965.0,46.94,2586604.0,47.01,2834790.0,51.52,2800655.0,51.63,2623458.0,48.37,2699777.0,49.87,2713400.0,50.13,2630557.0,48.84,2755570.0,51.16,2812797.0,52.58,2537019.0,47.42,2753219.0,51.38,2605169.0,48.62,2635824.0,49.12,2730175.0,50.88,2901848.0,53.86,2485722.0,46.14,2726618.0,50.83,2637528.0,49.17,2775487.0,51.76,2586464.0,48.24,2728979.0,2561468.0,2917848.0,2646957.0,2467684.0,2846321.0,356380.0,82022.0,5647793.0,5474952.0,5502777.0
